name;index;industry;sector;pca_0;pca_1;pca_2
F&F Holdings Co., Ltd.;007700;Apparel Manufacturing;Consumer Cyclical;0.1821013238454967;0.1813098095161176;-0.005837078182631759
SPC Samlip Co., Ltd.;005610;Packaged Foods;Consumer Defensive;0.15898761295936337;0.2038474827749492;-0.03414322868972496
Korea Petrochemical Ind. Co., Ltd.;006650;Chemicals;Basic Materials;0.08256016098323693;0.1669313987390458;-0.1806242723409543
Ottogi Corporation;007310;Packaged Foods;Consumer Defensive;0.15129486697268302;-0.03601642471007005;0.24879025521051346
Samhwa Paints Industrial Co., Ltd.;000390;Specialty Chemicals;Basic Materials;0.22630023934372423;-0.06283629775992758;0.20666159886084656
Hanssem Co., Ltd.;009240;Furnishings, Fixtures & Appliances;Consumer Cyclical;0.10776661690188766;0.12768334202482814;0.12130742014455767
Korea Zinc Company, Ltd.;010130;Other Industrial Metals & Mining;Basic Materials;0.10847187759955013;-0.16942289832083562;-0.12589807405234824
BAIKSAN Co,. Ltd;035150;Footwear & Accessories;Consumer Cyclical;0.10097144527731866;0.18128481980536845;-0.2595005443944621
Youngbo Chemical Co., Ltd.;014440;Chemicals;Basic Materials;0.1551564065851152;-0.14723087671409713;0.021464909171476244
Hanwha Solutions Corporation;009830;Solar;Technology;0.07523703219496858;0.10079529035914994;-0.28108721198709485
Chungho Ict Co.,Ltd.;012600;Business Equipment & Supplies;Industrials;0.13901229762017575;0.05050061273621528;0.020679429183848172
Busan Industrial Co., Ltd.;011390;Building Materials;Basic Materials;0.02112316548279697;0.14886231916401207;-0.005013403897981619
Hansol Chemical Co., Ltd.;014680;Chemicals;Basic Materials;0.12017585159518224;0.022556159592110492;-0.08901659052145747
Samyoung Electronics Co., Ltd;005680;Electronic Components;Technology;0.3401635731683079;-0.17720670028898125;0.08590599257432185
SL Corporation;005850;Auto Parts;Consumer Cyclical;0.1171469409826153;-0.0012193975552519387;-0.11766945717217966
Hansung Enterprise Co.,Ltd;003680;Packaged Foods;Consumer Defensive;0.18095777582923855;0.005398657614359703;-0.10692510800004801
Daegu Department Store Co., Ltd.;006370;Department Stores;Consumer Cyclical;0.24771994185724522;-0.23581260647490088;0.21779199332057442
TKG Huchems Co., Ltd.;069260;Chemicals;Basic Materials;0.17582209272125082;-0.11032870242458132;-0.13491890708955456
Silla Co.,Ltd;004970;Packaged Foods;Consumer Defensive;0.1544494843136427;-0.03726827219759116;-0.030527381463161953
Daeho Al Co.,Ltd.;069460;Aluminum;Basic Materials;0.07450676277168211;0.294783602519584;-0.19897958163664536
SAMICK MUSICAL INSTRUMENT Co., Ltd;002450;Electronic Components;Technology;0.08143016369234041;0.05362094076934815;-0.010314838011340054
Hyundai Motor Securities Co.,Ltd.;001500;Capital Markets;Financial Services;0.15199090289934725;-0.24989524903948807;-0.05707548943157557
Sebang Global Battery Co., Ltd.;004490;Electrical Equipment & Parts;Industrials;0.18404404714608225;-0.2484664551768695;0.012887173610925997
INZI Controls Co.,Ltd.;023800;Auto Parts;Consumer Cyclical;0.21044463657364532;-0.19167226181485764;-0.11658697104931745
